"78034","Sent","Sent","Avalon Hills","Avenue 5","Unit 2279 - Toilet Installation","#27213 - Fixture Issues :Plumbing","Fixture Issues :Plumbing","","350","350","350","38.4","311.6","89","0","350","30","320","No","","","","0","","","","0","Jul 24, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 11:12:54 GMT-0700","2026","July 2026","","","","","0","0","0","0","0","38.4","0","38.4","Jarren Heward","Jarren Heward","","30","105","NaN","","","-","-","3535 W Tierra Buena Ln, Phoenix, AZ 85053","","","85053","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15125379","(844) 427-1958","avalonhills@avenue5apt.com","","pm.avalonhills@avenue5apt.com","Logen Uknavage","","","","Avenue 5 property picked up by Logen","","Fri Feb 27 2026 11:05:58 GMT-0700","","Avalon Hills","Avalon Hills","","","","","","","MFH - Plumbing","","EJ","","","","","Completed","Unit 2279
Customer supplied toilet install
NTE $350
POC EJ. Call when en route","Julian Guidry","MFH - Plumbing","Called out to install customer supplied toilet, the existing toilet was cracked and broken, shut off water at angle stop, unscrewed toilet and removed it, cleaned up flange and removed old wax, installed new bolts and wax ring and set toilet, toilet didnt come with all the necessary bolts and nuts for the install so i had to go to van marcke, tested flush and no leaks","","Default Workflow"
"78033","Invoiced","Invoiced","Venue on Camelback","BH Management Services LLC","Venue on Camelback - Invoice - Active Water Leak :Plumbing","#27173 - Active Water Leak :Plumbing","Active Water Leak :Plumbing","","2525","2525","2525","540","1985","79","0","2525","525","2000","No","","","","0","","","","0","Jul 24, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 11:05:33 GMT-0700","2026","July 2026","","","","","0","0","0","0","300","240","300","240","Jarren Heward","Jarren Heward","","30","757.5","NaN","","","-","-","1930 East Camelback Road, Phoenix, Arizona 85016","Phoenix","Arizona","85016","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","12805541","(480) 340-2646","andres.marquez@livebh.com","","","Logen Uknavage","","","","","","Thu Oct 16 2025 15:10:12 GMT-0700","Commercial,MFH,BH Mgmt","Venue on Camelback","Venue on Camelback","Andres","Marquez","","","","","MFH - Plumbing","","Andreas","","","","","Completed","Unit 217
When they use the bathroom sink, it is dripping in to 117. Can't find anything themselves, possibly in the wall
POC Andreas","Adam George, Jordan Wise","PHX - Plumbing, MFH - Plumbing","Leak on main bathroom stack: what appears to be a section of 4"" cast iron has split running through the slab between unit 117 and unit 217","","Default Workflow"
"78031","Sent","Sent","Colter Park","Harbor Group Management Co., LLC","Colter Park - Invoice - Fan Coil - No cool","#27212 - Fan Coil - No cool","Fan Coil - No cool","","270","270","270","33","237","88","0","270","-5","275","No","","","","0","","","","0","Jul 24, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 10:55:50 GMT-0700","2026","July 2026","","","","RealPage","0","0","0","0","0","33","0","33","Chris Marrs","","","0","0","NaN","","","-","-","909 West Colter Street, Phoenix, Arizona 85013","Phoenix","Arizona","85013","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15508690","(480) 640-7388","fswanson@harborgroupmanagement.com","","","Logen Uknavage","","","","","","Mon Mar 30 2026 09:43:16 GMT-0700","Harbor","Colter Park","Colter Park","Feljie","Swanson","","85893000","","","MFH - Plumbing","","","","","","","Completed","Unit 378
Fan coil is not cooling
POC Anthony","Jordan Wise","MFH - Plumbing","Arrived 1:25pm - Finished 1:45pm
Once at unit inspected fan coil and found leak to be caused by backed up drain pan. Cleared drain and al is good now.","","Default Workflow"
"78028","Sent","Sent","**44 Monroe","Greystar","**44 Monroe - Estimate","#27079 - Fixture Issues :Plumbing","Fixture Issues :Plumbing","**44 Monroe - Estimate","12150","12150","12150","5461.6","6688.4","55","0","12150","5850","6300","No","","","","0","","","","0","Jul 24, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 10:42:10 GMT-0700","2026","July 2026","","","","","0","0","0","0","4900","561.6","4900","561.6","Chris Marrs","Hunter Howell","","30","2006.52","NaN","","","-","-","44 West Monroe Street, Phoenix, AZ 85003","Phoenix","AZ","85003","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","6724719","480-818-0717","sarah.odaniel@greystar.com","","44monroemaint@greystar.com","Kris Driggs","Cushman & Wakefield","","","","Call Dominic Meza regarding work","Tue Apr 23 2024 16:10:56 GMT-0700","Commercial,VIP","**44 Monroe","**44 Monroe","Sarah","ODaniel","","","","","MFH - Plumbing","","Dominic","","","","","Completed","Call Dominic Meza regarding work 
16th Floor Mechanical Room - PRV replacement
Show up at 830 for shutdown at 9. Dominic will not be there. Contact front off number for access.
Parts at hughes across the street from shop","Hunter Howell","MFH - Plumbing","Findings
Found PRV leaking and not functioning properly.
Includes
Turned water off to section
Drained system
Removed and replaced PRV
Restored water
Leak tested
Tested for proper function
Cleaned up
Excludes
Work beyond listed scope
Water damage","","Default Workflow"
"78027","Sent","Sent","Colter Park","Harbor Group Management Co., LLC","Unit 192 - Fan Coil Service","#27211 - Fan Coil - No cool","Fan Coil - No cool","","340","340","340","42","298","88","0","340","-10","350","No","","","","0","","","","0","Jul 24, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 10:39:32 GMT-0700","2026","July 2026","","","","RealPage","0","0","0","0","0","42","0","42","Jarren Heward","Jarren Heward","","30","102","NaN","","","-","-","909 West Colter Street, Phoenix, Arizona 85013","Phoenix","Arizona","85013","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15508690","(480) 640-7388","fswanson@harborgroupmanagement.com","","","Logen Uknavage","","","","","","Mon Mar 30 2026 09:43:16 GMT-0700","Harbor","Colter Park","Colter Park","Feljie","Swanson","","85893082","","","MFH - Plumbing","","","","","","","Completed","Unit 192
Fan coil is not cooling
POC Anthony","Jordan Wise","MFH - Plumbing","Arrived 3pm - Finished 3:30pm
Once inside unit took temperatures at 94° flushed coil of dirty water until clear got temps down to 63°. Everything is cooling good now.","","Default Workflow"
"78025","Sent","Sent","Argenta Apartments","29th Street Communities","Argenta Apartments - Invoice - Active Water Leak :Plumbing","#27059 - Active Water Leak :Plumbing","Active Water Leak :Plumbing","","800","800","800","124.8","675.2","84","0","800","0","800","No","","","","0","","","","0","Jul 24, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 10:29:53 GMT-0700","2026","July 2026","","","","","0","0","0","0","0","124.8","0","124.8","Chris Marrs","","","0","0","NaN","","","-","-","4104 East Broadway Road, Mesa, Arizona 85206","Mesa","Arizona","85206","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","9808428","(925) 324-7595","diana.march@29scliving.com","","sean.obrien@29scliving.com","Logen Uknavage","Referral","Won","","","","Fri Mar 21 2025 08:24:30 GMT-0700","","Argenta Apartments","Argenta Apartments","Diana","March","","287682","","","MFH - Plumbing","","Sean","","","","","Completed","Unit 1068
Slab leak- surfacing in 2nd bedroom
POC Sean
**POC requesting we confirm leak and provide estimate if it is a slab leak","Brodyn Janshen","MFH - Plumbing","Arrived on site waited for office to give me keys after 15 minutes I got the keys and found the unit, the water is coming up from the floor in the bedroom to the right when you walk in. At the entrance of the bedroom, under the door. The wall behind the shower valve is dry, and the cabinet is also dry. There’s about a 1.5 foot by 1.5 foot section of the carpet that is wet, beyond that is all dry.  Found 1 inch ball valves on the east side of the building. 

The scope of work would include 
Clear work space 
Remove section of carpet 
Break flooring to dirt 
Dig down to access pipe
Fix and repair any compromised pipe
Leak test 
Backfill
Rough patch of concrete 
Clean up work area","","Default Workflow"
"78021","Sent","Sent","Colter Park","Harbor Group Management Co., LLC","Colter Park - Invoice - Fan Coil - No cool","#27210 - Fan Coil - No cool","Fan Coil - No cool","","295","295","295","48.8","246.2","83","0","295","55","240","No","","","","0","","","","0","Jul 24, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 10:22:11 GMT-0700","2026","July 2026","","","","RealPage","0","0","0","0","20","28.8","20","28.8","Jarren Heward","Jarren Heward","","30","88.5","NaN","","","-","-","909 West Colter Street, Phoenix, Arizona 85013","Phoenix","Arizona","85013","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15508690","(480) 640-7388","fswanson@harborgroupmanagement.com","","","Logen Uknavage","","","","","","Mon Mar 30 2026 09:43:16 GMT-0700","Harbor","Colter Park","Colter Park","Feljie","Swanson","","85892455","","","MFH - Plumbing","","","","","","","Pending Site Visits","Unit 177
Fan coil is not cooling
POC Anthony","Jordan Wise","MFH - Plumbing","Arrived 12:15pm - Finished 1:15pm
Once at unit inspected fan coil and found lines were improperly wrapped removed all insulation to at was affected and wrapped lines properly, Leak is now gone. Cleaned up work area before heading to next call.
1- roll of foam tape","","Default Workflow"
"78018","Sent","Sent","Colter Park","Harbor Group Management Co., LLC","Colter Park - Invoice - Fan Coil Leak","#27219 - Fan Coil Leak","Fan Coil Leak","","345","345","345","56","289","84","0","345","45","300","No","","","","0","","","","0","Jul 24, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 10:17:27 GMT-0700","2026","July 2026","","","","RealPage","0","0","0","0","20","36","20","36","Jarren Heward","Jarren Heward","","30","103.5","NaN","","","-","-","909 West Colter Street, Phoenix, Arizona 85013","Phoenix","Arizona","85013","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15508690","(480) 640-7388","fswanson@harborgroupmanagement.com","","","Logen Uknavage","","","","","","Mon Mar 30 2026 09:43:16 GMT-0700","Harbor","Colter Park","Colter Park","Feljie","Swanson","","85892627","","","MFH - Plumbing","","Josh","","","","","Completed","Unit 309
Fan coil water leak
POC Josh","Jordan Wise","MFH - Plumbing","Arrived 10am - Finished 11:40am
Once on site gained access to unit, inside unit inspected coil and found lines were improperly wrapped. Left for foam tape. Took awhile to find once back on site wrapped lines as needed and no more leak is present cleaned up work area before heading to next call. 
1- roll of foam tape","","Default Workflow"
"78016","Sent","Sent","Capri on Camelback","Harbor Group Management Co., LLC","Capri on Camelback - Invoice - Active Water Leak :Plumbing","#27239 - Active Water Leak :Plumbing","Active Water Leak :Plumbing","","750","750","750","166","584","78","0","750","200","550","No","","","","0","","","","0","Jul 24, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 10:14:41 GMT-0700","2026","July 2026","","","","","0","0","0","0","100","66","100","66","Jarren Heward","Hunter Howell","","30","225","NaN","","","-","-","5115 North 40th Street, Phoenix, Arizona 85018","Phoenix","Arizona","85018","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17009572","(602) 882-8579","tgeorge@harborgroupmanagement.com","","","Logen Uknavage","Referral","","","","","Tue Jun 02 2026 16:45:17 GMT-0700","MFH,Commercial","Capri on Camelback","Capri on Camelback","Travis","George","","","","","MFH - Plumbing","","Juan","","","","","Completed","A403
Tub is leaking down to A303
POC Juan","Hunter Howell","MFH - Plumbing","Findings
Found waste and overflow leaking.
Includes
Moved refrigerator to gain access
Removed trim
Cut access hole behind refrigerator to access the waste and overflow
Jackhammered through concrete as needed for access
Removed and replaced the failed waste and overflow assembly
Leak tested
Reinstalled trim
Cleaned up
Excludes
Concrete repair
Drywall, texture, and paint repairs
Flooring repairs
Water damage restoration
Work beyond listed scope","","Default Workflow"
"78015","Paid","Paid","Emelie Brechbiel","","Emelie Brechbiel - Invoice - Sink :Lowes Simple Installs","#26978 - Sink :Lowes Simple Installs","Sink :Lowes Simple Installs","","50","50","50","5","45","90","50","0","0","50","Yes","","","","0","","","","0","Jul 24, 2026","","Aug 11, 2026","","","Mon Jul 27 2026 10:13:04 GMT-0700","2026","July 2026","","","","Add On,Lowes","0","0","0","0","0","5","0","5","Ashley Reed","Erik Tange","","0","18","NaN","Mon Jul 27 2026 05:00:00 GMT-0700","Mon Jul 27 2026 05:00:00 GMT-0700","-","-","4024 North 85th Avenue, Phoenix, Arizona 85037","Phoenix","Arizona","85037","No","Lowes:Simple Installs","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","14534720","(623) 330-7671","emeliebrechbiel@yahoo.com","","","","IMS","","","","","Wed Feb 04 2026 13:04:28 GMT-0700","Lowes - Simple Installs","Emelie Brechbiel","","Emelie","Brechbiel","","413219746","","","Lowes - Simple Installs","","","","","","","Canceled","Simple installs- HEX Drop-in 30-in x 18-in Stainless steel Single bowl Kitchen Sink/ 1-1/2-in Plastic Triple bowl continuous waste slip joint
RECONNECT HOT WATER DISPENSER FEE
RECONNECT UNDERCOUNTER FILTER FEE

The sink is at the customers home, we need to pick up the  1-1/2-in Plastic Triple bowl continuous waste slip joint from the store

1620 NORTH 75TH AVENUE,
Phoenix, AZ 85035
Store: #1042
Phone: (623) 845-6292

Delivery Fee: PR32437494
Trip fee: PR32479147","Erik Tange","Lowes","New sink is too small in the side to side for current countertop opening. 
I informed customer of the situation, and a new replacement sink will be found and scheduled for install at a later date.

Sink and drain plumbing were returned by Erik to the store @ 1620 N 75 ave.

Countertop may need to be cut front to back to accommodate new sink. If that happens, customer will find a company to do so.

NO RECONNECT HOT WATER DISPENSER FEE is needed
NO RECONNECT UNDERCOUNTER FILTER FEE is needed.

I would suggest to add 2x angle stop replacement though. Exsisting angle stops are gate vales and should be replaced. (1) dual outlet angle stop, & (1) single outlet angle stop would be needed.","Lowes,Pick up from Lowes","Default Workflow"
"78013","Sent","Sent","Colter Park","Harbor Group Management Co., LLC","Unit 158 - Fan Coil Service","#27205 - Fan Coil - No cool","Fan Coil - No cool","","340","340","340","42","298","88","0","340","-10","350","No","","","","0","","","","0","Jul 24, 2026","","Aug 26, 2026","","","Mon Jul 27 2026 10:07:32 GMT-0700","2026","July 2026","","","","RealPage","0","0","0","0","0","42","0","42","Jarren Heward","Jarren Heward","","30","102","NaN","","","-","-","909 West Colter Street, Phoenix, Arizona 85013","Phoenix","Arizona","85013","No","","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15508690","(480) 640-7388","fswanson@harborgroupmanagement.com","","","Logen Uknavage","","","","","","Mon Mar 30 2026 09:43:16 GMT-0700","Harbor","Colter Park","Colter Park","Feljie","Swanson","","85892608","","","MFH - Plumbing","","","","","","","Completed","Unit 158
Fan coil is not cooling
POC Anthony","Benito Valdez","MFH - Plumbing","Upon entry my first temp would not go below 63°,I pulled the blower motor assembly and cleaned the coils and the temp came down to 58°","","Default Workflow"
